<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20181217;210000;66.6548000;66.7390000;66.5980000;66.7219000;9454
USDRUB;60;20181217;220000;66.7385000;66.7392000;66.6360000;66.6839000;10224
USDRUB;60;20181217;230000;66.6839000;66.7483000;66.6500000;66.7435000;12090
USDRUB;60;20181218;000000;66.7435000;66.7780000;66.4648000;66.6044000;5908
USDRUB;60;20181218;010000;66.6798000;66.7694000;66.5995000;66.7694000;192
USDRUB;60;20181218;020000;66.7437000;66.7455000;66.5728000;66.6822000;145
USDRUB;60;20181218;030000;66.6583000;66.7049000;66.5815000;66.6312000;152
USDRUB;60;20181218;040000;66.6333000;66.6868000;66.5837000;66.6012000;148
USDRUB;60;20181218;050000;66.6115000;66.6804000;66.5855000;66.5963000;132
USDRUB;60;20181218;060000;66.6017000;66.6543000;66.5937000;66.6022000;34
USDRUB;60;20181218;070000;66.6098000;66.6527000;66.4640000;66.5748000;138
USDRUB;60;20181218;080000;66.5727000;67.0628000;66.4565000;66.7314000;2189
USDRUB;60;20181218;090000;66.7426000;66.7896000;66.6805000;66.7234000;492
USDRUB;60;20181218;100000;66.7367000;66.8130000;66.6690000;66.7838000;1435
USDRUB;60;20181218;110000;66.7696000;66.8659000;66.6606000;66.7135000;43012
USDRUB;60;20181218;120000;66.7135000;66.7289000;66.5589000;66.7112000;41961
USDRUB;60;20181218;130000;66.6894000;66.8363000;66.6424000;66.7189000;49886
USDRUB;60;20181218;140000;66.7120000;66.8574000;66.6633000;66.8201000;38562
USDRUB;60;20181218;150000;66.8200000;66.9478000;66.7480000;66.9187000;35843
USDRUB;60;20181218;160000;66.9181000;66.9788000;66.8331000;66.9371000;44685
USDRUB;60;20181218;170000;66.9371000;67.0241000;66.8505000;66.9170000;48196
USDRUB;60;20181218;180000;66.9154000;66.9811000;66.7649000;66.9097000;57288
USDRUB;60;20181218;190000;66.9081000;67.0079000;66.7915000;66.9890000;41305
USDRUB;60;20181218;200000;66.9890000;67.1699000;66.8973000;67.1171000;38223
USDRUB;60;20181218;210000;67.1171000;67.2363000;67.0810000;67.1674000;18328
USDRUB;60;20181218;220000;67.1671000;67.2643000;67.1150000;67.2385000;12153
USDRUB;60;20181218;230000;67.2380000;67.3310000;67.1858000;67.3102000;22985
USDRUB;60;20181219;000000;67.2977000;67.5439000;67.2250000;67.3090000;10620
